Fiscal year,Proc Categ,Major Sector,Proc Type,Proc Meth,Proj Name,Proj ID,Len Instr Type,Lending Instr,Contract,Bor Ctr Ref #,#  Addendums,Ctr Awd Date,Supplier,Supp Ctry,Amount
1995,Consultant Services,"Public admin, Law",Instutional/Management Assistance,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,CONSULTING SVCS:ACCOUNTANCY DEVELOPMENT - BAGANUUR COAL MINE,UNKNOWN,#,3/15/1995,ARTHUR ANDERSEN & CO.,Ecuador,"182,000"
1995,Consultant Services,"Public admin, Law",Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTANTS SERVICES - RAILWAY,NA,#,4/5/1995,TRANSURB CONSULT,Belgium,"16,532"
1995,Consultant Services,"Public admin, Law",Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - URBAN/FREIGHT,NA,#,4/5/1995,CIE CONSULT,Ireland,"37,800"
1995,Consultant Services,"Public admin, Law",Operational Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,IMPLEMENTATION ADVISOR,NA,#,2/3/1995,WILFRED J. MCKIE,United Kingdom,"16,800"
1995,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,"ENVIRONMENTAL AUDIT BY STEFFEN, ROBERTSON & KIRSTEN (U.K.)",UNKNOWN,#,5/8/1995,"STEFFEN, ROBERTSON & KIRSTEN (",United Kingdom,"29,729"
1995,Consultant Services,"Public admin, Law",Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - ROADS,4-17-95,2,3/29/1995,SCOTT WILSON KIRKPATRICK/TRL,United Kingdom,"42,316"
1995,Consultant Services,Energy & mining,Consultanting Other Combination,Quality And Cost-Based Selection,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,"ENVIRONMENTAL AUDIT BY STEFFEN, ROBERTSON & KIRSTEN (U.K.)",UNKNOWN,#,5/8/1995,"STEFFEN, ROBERTSON & KIRSTEN (",United Kingdom,"89,186"
1995,Consultant Services,Transportation,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTANTS SERVICES - RAILWAY,NA,#,4/5/1995,TRANSURB CONSULT,Belgium,"484,949"
1995,Consultant Services,Transportation,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - URBAN/FREIGHT,NA,#,4/5/1995,CIE CONSULT,Ireland,"1,108,800"
1995,Consultant Services,Transportation,Operational Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,IMPLEMENTATION ADVISOR,NA,#,2/3/1995,WILFRED J. MCKIE,United Kingdom,"492,800"
